Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.051472,-1.1552E-05,0.020319,0,0,0,1.4163,0.0021671,1.8066E-08,-0.00024141,0.0015112,6.6375E-10,0.0025051,0,0,0,0,0,0,package://dm_prototype_v02/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/base_link.STL,,link_base-1/link_base-1;link_base-1/DM_4340__3D20240822_定子-1;link_base-1/DM_4340__3D20240822_定子-2;link_base-1/DM_4340__3D20240822_定子-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw_link,0.01003,2.647E-07,0.15087,0,0,0,4.1981,0.022522,-4.7271E-08,-4.1009E-05,0.017977,-9.3478E-08,0.014275,0,0,0,0,0,0,package://dm_prototype_v02/meshes/waist_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/waist_yaw_link.STL,,RXDM-总装-1/躯干-1;RXDM-总装-1/达妙DM-J4310-2EC定子-3;RXDM-总装-1/达妙DM-J4310-2EC定子-4;RXDM-总装-1/CMDVF5555-V2-20250912-1;RXDM-总装-1/MirrorCMDVF5555-V2-20250912-2;RXDM-总装-1/DM_4340__3D20240822_转子-1,坐标系1,基准轴1,waist_yaw_joint,revolute,0,0,0.0437499999999999,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r_shoulder_pitch_link,-0.001297,-0.076747,1.2055E-06,0,0,0,0.40323,0.00014803,-5.3088E-07,-7.0318E-10,0.00014627,-2.8065E-08,0.00012736,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_pitch_link.STL,,RXDM-总装-1/MirrorRXDM-左臂-L1-2/Mirror达妙DM-J4310-2EC转子-1;RXDM-总装-1/MirrorRXDM-左臂-L1-2/Mirror4310输出连接法兰L1-1;RXDM-总装-1/MirrorRXDM-左臂-L1-2/Mirror达妙DM-J4310-2EC定子-1;RXDM-总装-1/MirrorRXDM-左臂-L1-2/Mirror4310双端轴承座J2-1,坐标系2,基准轴2,r_shoulder_pitch_joint,revolute,0,-0.0530000000000001,0.21325,0,0,0,waist_yaw_link,0,-1,0,0,0,0,0,,,,,,,,
r_shoulder_roll_link,0.024716,-5.0805E-05,-0.05577,0,0,0,0.41152,0.0001432,-2.7448E-08,-1.7508E-06,0.00016225,3.4424E-07,0.00016985,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_roll_link.STL,,RXDM-总装-1/MirrorRXDM-左臂-L2-2/Mirror达妙DM-J4310-2EC转子-1;RXDM-总装-1/MirrorRXDM-左臂-L2-2/Mirror4310输出连接法兰L2-L-1;RXDM-总装-1/MirrorRXDM-左臂-L2-2/Mirror达妙DM-J4310-2EC定子-1,坐标系3,基准轴3,r_shoulder_roll_joint,revolute,-0.0227000000000002,-0.0865,0,0,0,0,r_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
r_shoulder_yaw_link,-0.0010518,-0.00089443,-0.079087,0,0,0,0.40075,0.00014176,1.4355E-08,-1.5779E-06,0.00013078,-2.7563E-06,0.00013929,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_shoulder_yaw_link.STL,,RXDM-总装-1/MirrorRXDM-左臂-L3-2/Mirror达妙DM-J4310-2EC转子-1;RXDM-总装-1/MirrorRXDM-左臂-L3-2/Mirror达妙DM-J4310-2EC定子-1;RXDM-总装-1/MirrorRXDM-左臂-L3-2/Mirror左臂-4310输出连接法兰L3-1;RXDM-总装-1/MirrorRXDM-左臂-L3-2/Mirror左臂-4310双端轴承座J4-1,坐标系4,基准轴4,r_shoulder_yaw_joint,revolute,0.0220000000000001,0,-0.0499999999999993,0,0,0,r_shoulder_roll_link,0,0,-1,0,0,0,0,,,,,,,,
r_elbow_roll_link,0.024328,-9.7691E-05,-0.06013,0,0,0,0.4941,0.00024294,2.7823E-07,-2.283E-06,0.00026056,4.0949E-06,0.00027054,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_elbow_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_elbow_roll_link.STL,,RXDM-总装-1/MirrorRXDM-左臂-L4-2/Mirror达妙DM-J4310-2EC转子-1;RXDM-总装-1/MirrorRXDM-左臂-L4-2/Mirror达妙DM-J4310-2EC定子-1;RXDM-总装-1/MirrorRXDM-左臂-L4-2/MirrorL4外壳-1;RXDM-总装-1/MirrorRXDM-左臂-L4-2/Mirror左臂-4310输出连接法兰L4-1,坐标系5,基准轴5,r_elbow_roll_joint,revolute,-0.0222999999999987,0,-0.0895,0,0,0,r_shoulder_yaw_link,1,0,0,0,0,0,0,,,,,,,,
r_wrist_yaw_link,-0.0007974,6.6694E-06,-0.076537,0,0,0,0.39976,0.00014722,-3.3589E-09,-5.3256E-07,0.0001272,2.8479E-09,0.00014561,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_wrist_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_wrist_yaw_link.STL,,RXDM-总装-1/MirrorRXDM-左臂-L5-2/Mirror达妙DM-J4310-2EC转子-1;RXDM-总装-1/MirrorRXDM-左臂-L5-2/Mirror4310输出连接法兰L5-1;RXDM-总装-1/MirrorRXDM-左臂-L5-2/Mirror达妙DM-J4310-2EC定子-1,坐标系6,基准轴6,r_wrist_yaw_joint,revolute,0.0219999999999987,0,-0.0500000000000001,0,0,0,r_elbow_roll_link,0,0,-1,0,0,0,0,,,,,,,,
r_wrist_roll_link,0.022714,0.13132,0.019433,0,0,0,0.001,2.7071,0.0011776,0.012626,2.4689,-0.047383,0.31284,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_wrist_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/r_wrist_roll_link.STL,,,坐标系7,基准轴7,r_wrist_roll_joint,revolute,-0.0223,0,-0.0864999999999999,0,0,0,r_wrist_yaw_link,1,0,0,0,0,0,0,,,,,,,,
l_shoulder_pitch_link,-0.001297,0.076747,1.1885E-06,0,0,0,0.40323,0.00014803,5.3087E-07,-8.1243E-10,0.00014627,2.8333E-08,0.00012736,0,0,0,0,0,0,package://dm_prototype_v02/meshes/l_shoulder_pitch_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/l_shoulder_pitch_link.STL,,RXDM-总装-1/RXDM-左臂-L1-1/达妙DM-J4310-2EC转子-1;RXDM-总装-1/RXDM-左臂-L1-1/4310输出连接法兰L1-1;RXDM-总装-1/RXDM-左臂-L1-1/达妙DM-J4310-2EC定子-1;RXDM-总装-1/RXDM-左臂-L1-1/4310双端轴承座J2-1,坐标系8,基准轴8,l_shoulder_pitch_joint,revolute,0,0.053,0.21325,0,0,0,waist_yaw_link,0,1,0,0,0,0,0,,,,,,,,
l_shoulder_roll_link,0.024716,5.0877E-05,-0.05577,0,0,0,0.41152,0.0001432,2.7204E-08,-1.7511E-06,0.00016225,-3.4442E-07,0.00016985,0,0,0,0,0,0,package://dm_prototype_v02/meshes/l_shoulder_roll_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://dm_prototype_v02/meshes/l_shoulder_roll_link.STL,,RXDM-总装-1/RXDM-左臂-L2-1/达妙DM-J4310-2EC转子-1;RXDM-总装-1/RXDM-左臂-L2-1/4310输出连接法兰L2-L-1;RXDM-总装-1/RXDM-左臂-L2-1/达妙DM-J4310-2EC定子-1,坐标系9,基准轴9,l_shoulder_roll_joint,revolute,-0.0226999999999999,0.0865,0,0,0,0,l_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
